order_value,customer_orders,customer_returns,discount_percent,delivery_distance_km,product_category,payment_method,days_since_last_order,returned
3131.21,39,1,22,2.4,Clothing,Credit Card,30,1
1461.9,29,7,14,5.8,Footwear,UPI,37,0
2259.68,15,3,24,9.8,Clothing,COD,18,1
471.98,43,5,59,5.6,Home,Debit Card,76,0
1270.65,8,2,29,2.7,Electronics,UPI,11,1
2975.67,21,2,43,14.5,Footwear,Credit Card,60,0
1340.58,39,4,42,8.4,Home,Credit Card,59,0
504.8,19,4,3,9.3,Footwear,UPI,70,1
971.52,23,6,12,4.6,Electronics,UPI,26,0
705.15,11,1,49,2.7,Clothing,UPI,80,1
2558.93,11,2,39,3.9,Footwear,UPI,38,0
1962.75,24,8,38,5.2,Clothing,UPI,9,1
606.06,36,2,53,5.5,Electronics,UPI,82,0
574.46,40,4,22,7.3,Electronics,UPI,83,0
1088.55,24,5,59,16.4,Home,UPI,73,1
1848.08,3,1,15,13.5,Electronics,COD,46,0
1129.68,22,5,34,12.7,Books,Credit Card,44,1
2310.36,2,0,53,2.8,Clothing,Credit Card,42,1
2254.99,24,7,57,12.1,Home,Credit Card,73,1
2624.41,44,10,15,16.1,Electronics,UPI,69,0
672.27,30,8,47,5.5,Books,COD,23,1
1490.59,38,7,6,2.6,Electronics,Credit Card,34,0
3838.37,2,0,54,11.5,Electronics,Credit Card,22,0
1129.69,21,1,44,13.3,Electronics,COD,69,0
1023.02,33,7,12,7.9,Electronics,Debit Card,65,0
1284.56,12,1,52,14.8,Clothing,UPI,26,0
1262.2,22,3,50,8.4,Home,COD,82,1
1968.51,44,2,49,3.5,Clothing,COD,55,0
1203.43,25,7,28,8.3,Home,COD,90,0
439.72,49,5,38,9.0,Home,UPI,15,1
4145.26,27,11,19,7.8,Books,COD,66,1
2577.29,42,8,49,2.1,Electronics,Credit Card,53,1
2006.92,28,11,28,22.7,Electronics,Debit Card,79,1
1692.7,16,1,55,31.4,Electronics,UPI,11,0
1442.46,15,4,17,6.6,Clothing,UPI,58,1
1032.79,47,9,21,7.2,Clothing,UPI,84,0
485.75,44,12,35,8.3,Clothing,Credit Card,42,1
5648.85,3,0,40,7.5,Clothing,UPI,81,0
1834.68,37,7,52,3.6,Footwear,UPI,69,0
585.36,7,2,47,14.1,Clothing,COD,33,1
881.56,21,4,35,14.6,Clothing,Debit Card,44,1
2237.55,9,2,7,7.4,Electronics,Credit Card,89,0
2206.52,39,9,2,7.0,Footwear,Debit Card,7,0
1071.43,18,5,28,6.8,Footwear,Credit Card,79,1
850.22,4,0,8,13.8,Home,UPI,52,0
1211.29,25,4,7,8.2,Books,Credit Card,13,0
468.44,14,0,29,6.6,Home,Debit Card,32,0
1296.0,9,0,11,2.7,Clothing,UPI,39,0
1305.69,26,1,45,15.4,Clothing,UPI,78,0
5264.03,2,0,27,4.3,Books,UPI,63,0
1318.86,20,3,55,2.6,Home,Credit Card,20,0
2158.12,28,4,41,12.2,Home,UPI,16,1
5534.75,47,10,52,8.1,Home,Debit Card,30,0
856.54,7,1,48,32.5,Clothing,UPI,19,1
1167.61,44,9,42,2.3,Home,Debit Card,86,0
1239.44,8,1,9,5.0,Electronics,COD,74,0
559.92,47,2,12,12.2,Clothing,COD,72,0
1505.61,35,2,56,7.8,Clothing,Debit Card,78,1
4082.13,14,1,1,9.1,Footwear,UPI,75,0
3267.85,17,8,0,9.1,Clothing,Debit Card,30,0
4136.44,36,4,21,1.5,Clothing,Credit Card,34,0
1160.19,40,1,32,9.6,Footwear,Debit Card,39,0
820.22,4,1,15,13.5,Clothing,COD,49,1
8771.26,2,0,41,3.8,Clothing,UPI,5,0
2101.36,6,0,57,4.0,Footwear,Credit Card,43,0
584.84,42,7,28,5.6,Home,UPI,47,0
10853.87,4,1,9,2.5,Clothing,UPI,59,1
1697.67,29,9,38,3.4,Footwear,Credit Card,69,1
300.0,18,1,6,8.5,Footwear,Credit Card,17,0
5004.89,26,1,60,18.6,Electronics,Credit Card,19,0
358.79,44,15,0,5.1,Clothing,Debit Card,46,0
2212.53,34,7,25,24.0,Electronics,Credit Card,56,1
3260.75,10,1,44,5.0,Footwear,COD,26,0
2913.11,36,12,4,14.4,Footwear,Debit Card,66,0
5373.65,14,4,34,4.2,Electronics,COD,14,1
3684.86,31,3,60,10.6,Footwear,Debit Card,52,1
6631.89,48,8,12,21.9,Books,Credit Card,4,1
1694.1,15,1,26,12.4,Clothing,Credit Card,3,0
1353.53,8,1,11,7.2,Books,Debit Card,79,0
1418.48,14,1,29,6.8,Books,Debit Card,22,0
4729.4,23,5,49,10.7,Home,Debit Card,50,0
1155.67,40,9,31,13.2,Home,Debit Card,64,0
3272.09,21,1,58,14.3,Clothing,COD,83,1
990.36,16,3,30,8.6,Clothing,UPI,10,1
1002.97,45,3,4,10.4,Books,Credit Card,56,0
4142.27,18,4,36,4.0,Clothing,Credit Card,16,1
2454.47,47,17,1,11.4,Electronics,UPI,37,0
398.72,24,4,37,4.3,Electronics,COD,55,1
994.59,26,4,6,9.2,Home,Debit Card,22,0
300.0,25,5,0,6.1,Clothing,UPI,32,1
1390.1,45,2,2,20.4,Electronics,UPI,44,0
1493.09,41,11,19,8.5,Home,Debit Card,81,0
1297.47,29,11,1,21.9,Clothing,UPI,73,1
4207.17,15,4,41,7.9,Footwear,Credit Card,52,1
2414.24,45,12,42,24.4,Electronics,UPI,33,1
10158.8,1,0,20,11.8,Electronics,COD,2,0
2627.75,25,6,44,1.6,Electronics,Debit Card,14,1
2661.82,7,0,31,6.2,Footwear,UPI,61,0
2187.24,9,2,47,4.6,Home,COD,65,1
1497.71,24,6,19,2.7,Home,COD,86,1
1147.39,1,0,42,4.4,Clothing,Credit Card,30,1
1533.81,44,7,49,5.3,Books,UPI,27,0
1583.9,8,2,30,1.7,Electronics,Debit Card,64,0
1692.66,24,2,42,7.1,Electronics,UPI,33,0
2821.97,11,0,32,11.4,Home,Credit Card,53,0
2230.66,17,4,23,33.0,Clothing,UPI,80,1
1259.1,8,2,17,19.1,Home,Credit Card,10,1
1078.47,35,12,19,6.9,Electronics,UPI,27,0
2115.39,35,4,59,8.3,Electronics,Debit Card,37,0
945.09,33,5,31,12.2,Footwear,UPI,2,0
1341.02,5,1,57,7.3,Electronics,Credit Card,43,1
1246.45,42,18,4,8.6,Electronics,Debit Card,83,0
9879.65,39,10,1,4.4,Clothing,UPI,19,0
741.05,41,8,25,8.1,Clothing,Debit Card,11,0
1038.11,28,10,24,8.9,Home,UPI,52,0
1225.49,7,1,49,2.8,Home,Debit Card,32,0
1317.67,9,1,21,12.0,Footwear,Credit Card,80,0
3640.46,8,2,38,12.4,Clothing,Credit Card,81,0
1513.12,12,2,21,12.8,Clothing,UPI,29,1
715.56,34,9,10,4.5,Home,UPI,84,1
4922.83,33,7,10,21.9,Electronics,UPI,36,0
2174.49,48,11,59,6.3,Clothing,COD,47,1
2426.89,23,5,44,3.1,Home,Credit Card,88,0
2851.46,24,4,3,20.9,Clothing,COD,43,0
763.24,37,5,32,3.6,Footwear,COD,52,1
1799.35,35,4,17,10.2,Electronics,COD,53,1
3212.72,44,3,30,5.1,Home,Credit Card,68,0
1154.95,40,5,43,2.0,Electronics,UPI,5,1
2240.97,22,2,57,3.5,Books,COD,83,1
2645.1,27,10,27,19.3,Electronics,UPI,48,0
650.69,35,10,41,8.4,Books,Credit Card,24,1
877.68,1,0,59,5.5,Clothing,COD,1,0
365.28,35,7,21,6.6,Footwear,Credit Card,2,0
2119.03,37,5,39,3.1,Home,UPI,10,1
6764.74,47,11,2,4.1,Electronics,UPI,63,0
1113.73,14,2,6,14.3,Clothing,COD,59,0
1579.9,3,0,56,9.6,Books,COD,6,1
